hash,time,btc,usd
38c50a6789ce4d663c3313e7ce9725885ba12a29f89eef78f31c6cb518d6f103,13:31,240.99970208,"$10,014,207.60"
d6381e25fd98e1d778fdeef71cfcd1bfb665eb0ca997e9c4d3aa07f9882820e2,13:32,287.00677303,"$11,920,978.43"
66980c4bcaa7b739056804d7cb56f3613854a8b5f09eaa1c4687ca3fee5925d9,13:32,300.46847788,"$12,480,117.48"
efdcb57769ebe86bb2d6c23219f4be7be41d231650282b428aa9ea02c0bdc4b5,13:33,1.14438633,"$47,553.94"
377927cf29fd72ce6383f897506427f7664587ca549f265c69055f5669b76ca0,13:34,706.77804414,"$29,424,569.40"
